rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
49,49,53,S66;S70;S65;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S15;S16;S17;S18;S19;S21;S22;S23;S25;S26;S27;S28;S29;S30;S31;S32;S33;S35;S36;S38;S39;S41;S43;S44;S45;S46;S63;S47;S48;S49;S50;S64;S52;S54;S55;S56;S57;S58;S59;S60,0.5277610323718369,0.1126627587755682,0.3985565526682748
50,50,53,S71;S65;S01;S02;S03;S06;S07;S08;S10;S11;S12;S13;S16;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S30;S31;S32;S34;S35;S36;S38;S39;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S64;S52;S53;S56;S57;S58;S59;S60,0.5240933483375234,0.08056116392121522,0.35648792036885946
51,51,53,S71;S66;S70;S65;S02;S03;S05;S06;S09;S12;S13;S14;S15;S17;S18;S19;S20;S21;S22;S23;S61;S26;S27;S28;S30;S31;S32;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59,0.5547565184453516,0.2668460453102954,0.5396594754539511
52,52,53,S71;S66;S70;S01;S02;S03;S05;S06;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S31;S32;S33;S35;S38;S39;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S64;S53;S54;S55;S56;S57;S58;S60,0.5225187253013415,0.17647165352191746,0.3875913070070727
53,53,53,S66;S70;S65;S01;S02;S05;S06;S08;S10;S11;S12;S13;S14;S15;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S29;S30;S31;S32;S34;S35;S36;S38;S39;S40;S43;S42;S44;S45;S62;S63;S47;S48;S49;S50;S51;S64;S53;S54;S55;S56;S57;S58;S59,0.5147041759944396,0.2601022390430876,0.48057233914537756
54,54,53,S71;S70;S65;S01;S02;S03;S05;S06;S07;S09;S10;S11;S12;S14;S15;S16;S19;S20;S21;S22;S23;S24;S61;S27;S28;S29;S30;S31;S32;S33;S34;S35;S40;S41;S43;S42;S44;S45;S63;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.460522983458009,0.0555849431061311,0.33154739581273235
55,55,53,S71;S70;S65;S01;S02;S03;S05;S07;S08;S09;S11;S12;S14;S17;S18;S19;S20;S21;S22;S23;S25;S26;S27;S28;S29;S31;S32;S33;S34;S35;S36;S38;S39;S40;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S53;S54;S55;S56;S57;S58;S59;S60,0.46995591106179924,0.08994962520989495,0.368157733224685
56,56,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S18;S19;S20;S21;S22;S24;S25;S61;S27;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S42;S44;S45;S46;S62;S63;S48;S49;S51;S64;S53;S54;S55;S56;S57;S59;S60,0.5276121718995506,0.18534021472710324,0.45077618987499857
57,57,53,S71;S66;S70;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S18;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S62;S48;S49;S50;S64;S52;S53;S54;S55;S56;S57;S59,0.5181251508751752,0.1446769121635358,0.38050697526348276
58,58,53,S71;S70;S65;S01;S02;S03;S05;S06;S09;S10;S11;S12;S14;S15;S16;S17;S19;S20;S21;S22;S23;S24;S61;S26;S27;S28;S29;S31;S32;S34;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S64;S52;S55;S57;S58;S59;S60,0.5357363711643179,0.2383251524757527,0.5031848911325438
