no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
3,0.75,15,725,11363,172.16666666666666,100.0,32,2986,0,0.3957919927430304,-0.09008469405823627,0.5121929472046476,0.5393333333333333,0.11067174351675928,5.8,0.4
3,0.8,5,728,11929,180.74242424242425,103.0,36,3136,0,0.45034877315891847,-0.0358429458259489,0.6449646579739461,0.564,0.27115694331882256,0.6,0.0
3,0.8,10,728,11929,180.74242424242425,103.0,36,3136,0,0.4206382445146205,-0.0577153097385361,0.5345563744793709,0.521,0.1770987446414793,3.0,0.2
3,0.8,15,728,11929,180.74242424242425,103.0,36,3136,0,0.41920215870237304,-0.08381221519415971,0.5205499884793586,0.5119999999999999,0.13847409518846504,6.4,0.8
3,0.85,5,728,11929,180.74242424242425,103.0,36,3136,0,0.45034877315891847,-0.0358429458259489,0.6449646579739461,0.564,0.27115694331882256,0.6,0.0
3,0.85,10,728,11929,180.74242424242425,103.0,36,3136,0,0.4206382445146205,-0.0577153097385361,0.5345563744793709,0.521,0.1770987446414793,3.0,0.2
3,0.85,15,728,11929,180.74242424242425,103.0,36,3136,0,0.41920215870237304,-0.08381221519415971,0.5205499884793586,0.5119999999999999,0.13847409518846504,6.4,0.8
3,0.9,5,728,11929,180.74242424242425,103.0,36,3136,0,0.45034877315891847,-0.0358429458259489,0.6449646579739461,0.564,0.27115694331882256,0.6,0.0
3,0.9,10,728,11929,180.74242424242425,103.0,36,3136,0,0.4206382445146205,-0.0577153097385361,0.5345563744793709,0.521,0.1770987446414793,3.0,0.2
3,0.9,15,728,11929,180.74242424242425,103.0,36,3136,0,0.41920215870237304,-0.08381221519415971,0.5205499884793586,0.5119999999999999,0.13847409518846504,6.4,0.8
3,0.95,5,729,12573,190.5,110.5,39,3322,0,0.437497594104686,-0.0449172075931029,0.6430152219023625,0.572,0.2480975162022731,0.4,0.0
3,0.95,10,729,12573,190.5,110.5,39,3322,0,0.42344647132970853,-0.05542183170827386,0.5516797032107574,0.5030000000000001,0.19002717388345405,3.4,0.4
3,0.95,15,729,12573,190.5,110.5,39,3322,0,0.4362629275120282,-0.06864847413306406,0.5639646631436701,0.492,0.15314439491153953,8.0,2.2
3,1.0,5,729,12573,190.5,110.5,39,3322,0,0.437497594104686,-0.0449172075931029,0.6430152219023625,0.572,0.2480975162022731,0.4,0.0
3,1.0,10,729,12573,190.5,110.5,39,3322,0,0.42344647132970853,-0.05542183170827386,0.5516797032107574,0.5030000000000001,0.19002717388345405,3.4,0.4
3,1.0,15,729,12573,190.5,110.5,39,3322,0,0.4362629275120282,-0.06864847413306406,0.5639646631436701,0.492,0.15314439491153953,8.0,2.2
4,0.5,5,528,8795,133.25757575757575,77.0,30,2179,0,0.3821954022931512,-0.12406600262099181,0.6341956611773605,0.772,0.0835103724267811,0.0,0.0
4,0.5,10,528,8795,133.25757575757575,77.0,30,2179,0,0.3704695067029592,-0.1446365241452039,0.5323967548620514,0.6460000000000001,0.06982120260758032,1.2,0.0
4,0.5,15,528,8795,133.25757575757575,77.0,30,2179,0,0.3708980279017261,-0.157347872074192,0.481825811418398,0.5646666666666668,0.06722809301476082,4.8,0.4
4,0.6,5,531,9224,139.75757575757575,79.5,31,2358,0,0.39104981295871627,-0.1048229972208971,0.6344641252464771,0.736,0.10647704962096254,0.8,0.0
4,0.6,10,531,9224,139.75757575757575,79.5,31,2358,0,0.3638486906371538,-0.1315728235953331,0.5346047724883667,0.623,0.08328751305082076,2.0,0.2
4,0.6,15,531,9224,139.75757575757575,79.5,31,2358,0,0.3871024684827372,-0.15695140334854804,0.5075873781213599,0.5786666666666667,0.07028454900030423,5.2,1.0
4,0.7,5,535,9771,148.04545454545453,85.5,31,2444,0,0.42572575802482693,-0.05125924446604373,0.6422189379403301,0.6739999999999999,0.13958266765761848,0.0,0.0
4,0.7,10,535,9771,148.04545454545453,85.5,31,2444,0,0.4063977334082819,-0.08304581058999788,0.5454779513871514,0.581,0.1162883775274334,2.6,0.2
